id,name,x1,y1,x2,y2,w,h,ox,oy,gx,gy,dx,dy,dummy
44,unit04_03_move_01,1,201,129,279,128,78,22.00,33.00,200,200,-42.00,-6.00,0
45,unit04_03_move_02,575,201,703,277,128,76,23.00,31.00,200,200,-41.00,-7.00,0
46,unit04_03_move_03,173,116,301,196,128,80,23.00,34.00,200,200,-41.00,-6.00,0
47,unit05_01_1weapon,953,827,996,876,43,49,0.00,-0.00,43,49,-21.50,-24.50,0
48,unit05_01_dead_01,963,706,1019,764,56,58,-9.00,27.00,140,140,-37.00,-2.00,0
49,unit05_01_dead_02,267,706,333,766,66,60,-3.00,20.00,140,140,-36.00,-10.00,0
50,unit05_01_dead_03,902,574,952,638,50,64,-3.00,23.00,140,140,-28.00,-9.00,0
51,unit05_01_dead_04,926,641,976,703,50,62,-3.00,22.00,140,140,-28.00,-9.00,0
52,unit05_01_dead_05,413,982,477,1018,64,36,2.00,12.00,140,140,-30.00,-6.00,0
53,unit05_01_move_01,815,827,885,879,70,52,1.00,22.00,140,140,-34.00,-4.00,0
54,unit05_01_move_02,280,882,358,932,78,50,-1.00,23.00,140,140,-40.00,-2.00,0
55,unit05_01_move_03,590,827,668,879,78,52,-1.00,23.00,140,140,-40.00,-3.00,0
56,unit05_02_1weapon,1,706,41,767,40,61,0.00,-0.00,40,61,-20.00,-30.50,0
57,unit05_02_2weapon,977,641,1016,703,39,62,0.00,-0.00,39,62,-19.50,-31.00,0
58,unit05_02_dead_01,337,201,399,279,62,78,-13.00,37.00,200,200,-44.00,-2.00,0
59,unit05_02_dead_02,42,706,126,766,84,60,-12.00,21.00,200,200,-54.00,-9.00,0
60,unit05_02_dead_03,537,1,597,93,60,92,0.00,10.00,200,200,-30.00,-36.00,0
61,unit05_02_dead_04,562,641,628,703,66,62,5.00,22.00,200,200,-28.00,-9.00,0
62,unit05_02_dead_05,744,827,814,879,70,52,5.00,21.00,200,200,-30.00,-5.00,0
63,unit05_02_move_01,197,505,267,573,70,68,0.00,30.00,200,200,-35.00,-4.00,0
64,unit05_02_move_02,339,641,417,703,78,62,0.00,29.00,200,200,-39.00,-2.00,0
65,unit05_02_move_03,630,574,708,638,78,64,-1.00,28.00,200,200,-40.00,-4.00,0
66,unit05_03_1weapon,907,280,979,354,72,74,0.00,-0.00,72,74,-36.00,-37.00,0
67,unit05_03_dead_01,667,1,725,89,58,88,-8.00,41.00,200,200,-37.00,-3.00,0
68,unit05_03_dead_02,757,280,833,354,76,74,-9.00,27.00,200,200,-47.00,-10.00,0
69,unit05_03_dead_03,480,1,536,95,56,94,-4.00,8.00,200,200,-32.00,-39.00,0
70,unit05_03_dead_04,437,432,493,504,56,72,-4.00,16.00,200,200,-32.00,-20.00,0
71,unit05_03_dead_05,886,827,952,879,66,52,3.00,21.00,200,200,-30.00,-5.00,0
72,unit05_03_move_01,780,505,862,571,82,66,7.00,29.00,200,200,-34.00,-4.00,0
73,unit05_03_move_02,537,574,629,638,92,64,6.00,28.00,200,200,-40.00,-4.00,0
74,unit05_03_move_03,442,574,536,638,94,64,7.00,28.00,200,200,-40.00,-4.00,0
75,unit06_01_dead_01,576,706,622,766,46,60,-1.00,26.00,140,140,-24.00,-4.00,0
76,unit06_01_dead_02,875,641,925,703,50,62,-8.00,25.00,140,140,-33.00,-6.00,0
77,unit06_01_dead_03,820,641,874,703,54,62,-13.00,25.00,140,140,-40.00,-6.00,0
78,unit06_01_dead_04,204,768,260,826,56,58,-17.00,25.00,140,140,-45.00,-4.00,0
79,unit06_01_dead_05,809,933,875,975,66,42,-27.00,19.00,140,140,-60.00,-2.00,0
80,unit06_01_move_01,390,933,456,979,66,46,0.00,20.00,140,140,-33.00,-3.00,0
81,unit06_01_move_02,323,933,389,979,66,46,-1.00,22.00,140,140,-34.00,-1.00,0
82,unit06_01_move_03,256,933,322,979,66,46,0.00,20.00,140,140,-33.00,-3.00,0
83,unit06_01_weapon,577,982,625,1017,48,35,0.00,-0.00,48,35,-24.00,-17.50,0
84,unit06_02_dead_01,311,432,375,504,64,72,-10.00,31.00,200,200,-42.00,-5.00,0
85,unit06_02_dead_02,642,432,714,502,72,70,-20.00,30.00,200,200,-56.00,-5.00,0
86,unit06_02_dead_03,942,505,1014,571,72,66,-21.00,28.00,200,200,-57.00,-5.00,0
87,unit06_02_dead_04,260,641,338,703,78,62,-28.00,27.00,200,200,-67.00,-4.00,0
88,unit06_02_dead_05,890,706,962,764,72,58,-32.00,11.00,200,200,-68.00,-18.00,0
89,unit06_02_move_01,72,768,140,826,68,58,0.00,27.00,200,200,-34.00,-2.00,0
90,unit06_02_move_02,418,641,490,703,72,62,2.00,29.00,200,200,-34.00,-2.00,0
91,unit06_02_move_03,198,706,266,766,68,60,1.00,27.00,200,200,-33.00,-3.00,0
92,unit06_02_weapon,738,933,808,976,70,43,0.00,-0.00,70,43,-35.00,-21.50,0
93,unit06_03_dead_01,141,768,203,826,62,58,-6.00,25.00,250,250,-37.00,-4.00,0
94,unit06_03_dead_02,491,641,561,703,70,62,-16.00,28.00,250,250,-51.00,-3.00,0
95,unit06_03_dead_03,778,574,844,638,66,64,-18.00,24.00,250,250,-51.00,-8.00,0
96,unit06_03_dead_04,376,432,436,504,60,72,-19.00,17.00,250,250,-49.00,-19.00,0
97,unit06_03_dead_05,1,357,61,431,60,74,-29.00,9.00,250,250,-59.00,-28.00,0
98,unit06_03_move_01,359,882,431,932,72,50,-1.00,20.00,250,250,-37.00,-5.00,0
99,unit06_03_move_02,814,882,884,930,70,48,-3.00,20.00,250,250,-38.00,-4.00,0
100,unit06_03_move_03,741,882,813,930,72,48,-1.00,21.00,250,250,-37.00,-3.00,0
101,unit06_03_weapon,577,768,640,823,63,55,0.00,-0.00,63,55,-31.50,-27.50,0
102,unit07_01_dead_01,1,280,63,356,62,76,-4.00,10.00,200,200,-35.00,-28.00,0
103,unit07_01_dead_02,290,827,356,881,66,54,-6.00,12.00,200,200,-39.00,-15.00,0
104,unit07_01_dead_03,863,505,941,571,78,66,0.00,7.00,200,200,-39.00,-26.00,0
105,unit07_01_dead_04,669,827,743,879,74,52,-10.00,13.00,200,200,-47.00,-13.00,0
106,unit07_01_dead_05,654,882,740,930,86,48,4.00,11.00,200,200,-39.00,-13.00,0
107,unit07_01_move_01,332,982,412,1018,80,36,0.00,17.00,200,200,-40.00,-1.00,0
108,unit07_01_move_02,127,982,209,1020,82,38,-2.00,16.00,200,200,-43.00,-3.00,0
109,unit07_01_move_03,197,882,279,932,82,50,-3.00,9.00,200,200,-44.00,-16.00,0
110,unit07_01_weapon,76,982,126,1021,50,39,0.00,-0.00,50,39,-25.00,-19.50,0
111,unit07_02_dead_01,598,1,666,91,68,90,-6.00,17.00,200,200,-40.00,-28.00,0
112,unit07_02_dead_02,441,768,509,824,68,56,-9.00,13.00,200,200,-43.00,-15.00,0
113,unit07_02_dead_03,695,505,779,571,84,66,-2.00,8.00,200,200,-44.00,-25.00,0
114,unit07_02_dead_04,807,706,889,764,82,58,-8.00,10.00,200,200,-49.00,-19.00,0
115,unit07_02_dead_05,903,768,1009,822,106,54,1.00,9.00,200,200,-52.00,-18.00,0
116,unit07_02_move_01,432,882,562,930,130,48,24.00,15.00,200,200,-41.00,-9.00,0
117,unit07_02_move_02,121,933,255,979,134,46,23.00,13.00,200,200,-44.00,-10.00,0
118,unit07_02_move_03,641,768,773,822,132,54,21.00,10.00,200,200,-45.00,-17.00,0
119,unit07_02_weapon,815,88,932,106,117,18,0.00,-0.00,117,18,-58.50,-9.00,0
120,unit07_03_dead_01,815,1,891,87,76,86,8.00,16.00,200,200,-30.00,-27.00,0
121,unit07_03_dead_02,709,574,777,638,68,64,-9.00,7.00,200,200,-43.00,-25.00,0
122,unit07_03_dead_03,72,574,140,640,68,66,-4.00,7.00,200,200,-38.00,-26.00,0
123,unit07_03_dead_04,171,641,259,703,88,62,-11.00,8.00,200,200,-55.00,-23.00,0
124,unit07_03_dead_05,483,827,589,879,106,52,2.00,9.00,200,200,-51.00,-17.00,0
125,unit07_03_move_01,261,768,351,824,90,56,5.00,8.00,200,200,-40.00,-20.00,0
126,unit07_03_move_02,100,827,194,881,94,54,3.00,9.00,200,200,-44.00,-18.00,0
127,unit07_03_move_03,195,827,289,881,94,54,2.00,8.00,200,200,-45.00,-19.00,0
128,unit08_01_atk_01,557,505,607,573,50,68,-5.00,27.00,128,128,-30.00,-7.00,0
129,unit08_01_atk_02,845,574,901,638,56,64,-9.00,25.00,128,128,-37.00,-7.00,0
130,unit08_01_atk_03,888,432,932,502,44,70,-2.00,27.00,128,128,-24.00,-8.00,0
131,unit08_01_dead_01,757,641,819,703,62,62,13.00,24.00,128,128,-18.00,-7.00,0
132,unit08_01_dead_02,694,641,756,703,62,62,13.00,23.00,128,128,-18.00,-8.00,0
133,unit08_01_dead_03,357,827,423,881,66,54,22.00,20.00,128,128,-11.00,-7.00,0
134,unit08_01_dead_04,953,933,1021,973,68,40,19.00,12.00,128,128,-15.00,-8.00,0
135,unit08_01_dead_05,210,982,282,1020,72,38,19.00,11.00,128,128,-17.00,-8.00,0
136,unit08_01_move_01,976,432,1020,498,44,66,4.00,25.00,128,128,-18.00,-8.00,0
137,unit08_01_move_02,1,641,47,705,46,64,3.00,25.00,128,128,-20.00,-7.00,0
138,unit08_01_move_03,527,706,575,766,48,60,5.00,23.00,128,128,-19.00,-7.00,0
139,unit08_02_atk_01,953,574,1001,638,48,64,-4.00,25.00,128,128,-28.00,-7.00,0
140,unit08_02_atk_02,141,574,205,640,64,66,-13.00,26.00,128,128,-45.00,-7.00,0
141,unit08_02_atk_03,268,505,334,573,66,68,-13.00,27.00,128,128,-46.00,-7.00,0
142,unit08_02_dead_01,837,432,887,502,50,70,8.00,28.00,128,128,-17.00,-7.00,0
143,unit08_02_dead_02,1,574,71,640,70,66,18.00,26.00,128,128,-17.00,-7.00,0
144,unit08_02_dead_03,464,706,526,766,62,60,25.00,23.00,128,128,-6.00,-7.00,0
145,unit08_02_dead_04,1,768,71,826,70,58,19.00,21.00,128,128,-16.00,-8.00,0
146,unit08_02_dead_05,885,882,953,930,68,48,20.00,17.00,128,128,-14.00,-7.00,0
147,unit08_02_move_01,259,574,301,640,42,66,-2.00,25.00,128,128,-23.00,-8.00,0
148,unit08_02_move_02,302,574,344,640,42,66,-1.00,25.00,128,128,-22.00,-8.00,0
149,unit08_02_move_03,982,357,1022,421,40,64,0.00,24.00,128,128,-20.00,-8.00,0
150,unit08_03_atk_01,906,201,974,277,68,76,15.00,32.00,140,140,-19.00,-6.00,0
151,unit08_03_atk_02,238,432,310,504,72,72,-19.00,30.00,140,140,-55.00,-6.00,0
152,unit08_03_atk_03,165,432,237,504,72,72,-18.00,30.00,140,140,-54.00,-6.00,0
153,unit08_03_dead_01,392,505,448,573,56,68,9.00,27.00,140,140,-19.00,-7.00,0
154,unit08_03_dead_02,715,432,781,502,66,70,14.00,29.00,140,140,-19.00,-6.00,0
155,unit08_03_dead_03,127,706,197,766,70,60,16.00,23.00,140,140,-19.00,-7.00,0
156,unit08_03_dead_04,334,706,400,766,66,60,-3.00,24.00,140,140,-36.00,-6.00,0
157,unit08_03_dead_05,510,768,576,824,66,56,0.00,21.00,140,140,-33.00,-7.00,0
158,unit08_03_move_01,111,357,157,431,46,74,4.00,30.00,140,140,-19.00,-7.00,0
159,unit08_03_move_02,933,432,975,502,42,70,-1.00,29.00,140,140,-22.00,-6.00,0
160,unit08_03_move_03,782,432,836,502,54,70,8.00,29.00,140,140,-19.00,-6.00,0
161,unit09_01_atk_01,62,357,110,431,48,74,5.00,30.00,200,200,-19.00,-7.00,0
162,unit09_01_atk_02,130,201,202,279,72,78,17.00,33.00,200,200,-19.00,-6.00,0
163,unit09_01_atk_03,302,116,398,196,96,80,-31.00,33.00,200,200,-79.00,-7.00,0
164,unit09_01_atk_04,936,116,1010,194,74,78,-18.00,32.00,200,200,-55.00,-7.00,0
165,unit09_01_dead_01,449,505,503,573,54,68,8.00,28.00,200,200,-19.00,-6.00,0
166,unit09_01_dead_02,504,505,556,573,52,68,7.00,27.00,200,200,-19.00,-7.00,0
167,unit09_01_dead_03,401,706,463,766,62,60,7.00,24.00,200,200,-24.00,-6.00,0
168,unit09_01_dead_04,954,882,1022,930,68,48,3.00,18.00,200,200,-31.00,-6.00,0
169,unit09_01_dead_05,876,933,952,973,76,40,4.00,8.00,200,200,-34.00,-12.00,0
170,unit09_01_move_01,64,280,104,356,40,76,-1.00,31.00,200,200,-21.00,-7.00,0
171,unit09_01_move_02,250,357,292,431,42,74,2.00,30.00,200,200,-19.00,-7.00,0
172,unit09_01_move_03,980,280,1022,354,42,74,1.00,31.00,200,200,-20.00,-6.00,0
173,unit09_02_atk_01,158,357,204,431,46,74,4.00,30.00,200,200,-19.00,-7.00,0
174,unit09_02_atk_02,494,432,550,504,56,72,9.00,30.00,200,200,-19.00,-6.00,0
175,unit09_02_atk_03,399,116,469,196,70,80,-17.00,33.00,200,200,-52.00,-7.00,0
176,unit09_02_atk_04,461,201,521,279,60,78,-11.00,32.00,200,200,-41.00,-7.00,0
177,unit09_02_dead_01,335,505,391,573,56,68,9.00,28.00,200,200,-19.00,-6.00,0
178,unit09_02_dead_02,206,574,258,640,52,66,7.00,27.00,200,200,-19.00,-6.00,0
179,unit09_02_dead_03,629,641,693,703,64,62,8.00,24.00,200,200,-24.00,-7.00,0
180,unit09_02_dead_04,1,933,69,981,68,48,13.00,18.00,200,200,-21.00,-6.00,0
181,unit09_02_dead_05,1,982,75,1022,74,40,15.00,9.00,200,200,-22.00,-11.00,0
182,unit09_02_move_01,975,201,1015,277,40,76,-1.00,31.00,200,200,-21.00,-7.00,0
183,unit09_02_move_02,205,357,249,431,44,74,2.00,30.00,200,200,-20.00,-7.00,0
184,unit09_02_move_03,293,357,333,431,40,74,0.00,31.00,200,200,-20.00,-6.00,0
185,unit09_03_atk_01,522,201,574,279,52,78,7.00,33.00,200,200,-19.00,-6.00,0
186,unit09_03_atk_02,400,201,460,279,60,78,11.00,32.00,200,200,-19.00,-7.00,0
187,unit09_03_atk_03,726,1,814,87,88,86,-26.00,37.00,200,200,-70.00,-6.00,0
188,unit09_03_atk_04,892,1,954,87,62,86,-10.00,36.00,200,200,-41.00,-7.00,0
189,unit09_03_dead_01,203,201,269,279,66,78,14.00,33.00,200,200,-19.00,-6.00,0
190,unit09_03_dead_02,270,201,336,279,66,78,14.00,33.00,200,200,-19.00,-6.00,0
191,unit09_03_dead_03,834,280,906,354,72,74,12.00,30.00,200,200,-24.00,-7.00,0
192,unit09_03_dead_04,352,768,440,824,88,56,23.00,22.00,200,200,-21.00,-6.00,0
193,unit09_03_dead_05,106,882,196,932,90,50,23.00,13.00,200,200,-22.00,-12.00,0
194,unit09_03_move_01,955,1,1007,83,52,82,-1.00,35.00,200,200,-27.00,-6.00,0
195,unit09_03_move_02,470,116,520,196,50,80,2.00,33.00,200,200,-23.00,-7.00,0
196,unit09_03_move_03,120,116,172,198,52,82,-2.00,34.00,200,200,-28.00,-7.00,0
197,unit12_01_weapon,955,84,993,112,38,28,0.00,-0.00,38,28,-19.00,-14.00,0
198,unit12_02_weapon,527,982,576,1017,49,35,0.00,-0.00,49,35,-24.50,-17.50,0
199,unit12_03_weapon,726,88,814,113,88,25,0.00,-0.00,88,25,-44.00,-12.50,0
200,unit13_01_weapon,667,90,691,114,24,24,0.00,-0.00,24,24,-12.00,-12.00,0
201,unit13_02_weapon,626,982,687,1016,61,34,0.00,-0.00,61,34,-30.50,-17.00,0
202,unit13_03_weapon,70,933,120,981,50,48,0.00,-0.00,50,48,-25.00,-24.00,0
